keyword,cluster,trend_status,growth_rate,recent_avg,baseline_avg,rows,attr_pattern,attr_sub_category,attr_category,attr_fit_type,attr_demographic,attr_material
quần short nam ngắn,MODERATE,📉 Đang giảm,-1.0,0.0,1.47,1865,,Shorts,Bottom,,Men,
quần short nam thể thao,MODERATE,📉 Đang giảm,-1.0,0.0,0.55,1319,,Shorts,Bottom,,Men,
quần short nam đẹp,MODERATE,🚀 Đang nổi lên,3571428571.4286,3.57,0.0,1315,,Shorts,Bottom,,Men,
quần short nam cao cấp,MODERATE,📉 Đang giảm,-1.0,0.0,0.55,1277,,Shorts,Bottom,,Men,
phối đồ với quần short nam,MODERATE,📉 Đang giảm,-1.0,0.0,0.55,1345,,Shorts,Bottom,,Men,
quần short nam hàng hiệu,MODERATE,📉 Đang giảm,-1.0,0.0,0.55,830,,Shorts,Bottom,,Men,
giày sandal nữ,HIGH_SEASONAL,🚀 Đang nổi lên,0.5114,3.5,2.32,1865,,Sandal,Footwear,,Women,
dép sandal nữ,HIGH_SEASONAL,🚀 Đang nổi lên,34.165,19.32,0.55,1745,,Sandal,Footwear,,Women,
sandal nữ đẹp,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.49,972,,Sandal,,,Women,
dép sandal nữ đế cao,HIGH_SEASONAL,📉 Đang giảm,-0.285,0.37,0.52,1105,,Sandal,Footwear,,Women,
giày sandal nữ đế cao,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,1.1,1197,,Sandal,Footwear,,Women,
dép sandal nữ đẹp,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,1.03,823,,Sandal,Footwear,,Women,
giày sandal nữ đẹp,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,1581,,Sandal,Footwear,,Women,
giày sandal nữ đi học,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.55,1133,,Sandal,Footwear,,Women,
giày sandal nữ hàng hiệu,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.88,1308,,Sandal,Footwear,,Women,
túi xách nam,HIGH_SEASONAL,🚀 Đang nổi lên,4.3984,11.3,2.09,1985,,Handbag,,,Men,
túi xách nữ đẹp,HIGH_SEASONAL,➡️  Ổn định,0.17,0.64,0.55,1105,,Handbag,,,Women,
túi xách hàng hiệu,HIGH_SEASONAL,🚀 Đang nổi lên,52.5833,20.41,0.38,1985,,Handbag,,,,
túi xách tay nữ,HIGH_SEASONAL,🚀 Đang nổi lên,5.89,3.79,0.55,830,,Handbag,,,Women,
túi xách da nữ,HIGH_SEASONAL,🚀 Đang nổi lên,12642857142.8571,12.64,0.0,1622,,Handbag,,,Women,Leather
charles & keith túi xách,HIGH_SEASONAL,🚀 Đang nổi lên,70.5652,30.2,0.42,1985,,Handbag,,,,
túi xách nữ charles & keith,HIGH_SEASONAL,📉 Đang giảm,-0.7415,0.25,0.96,1588,,Handbag,,,Women,
túi charles & keith,HIGH_SEASONAL,➡️  Ổn định,0.0005,21.91,21.9,1985,,,,,,
charles & keith,STABLE,📉 Đang giảm,-0.252,20.89,27.92,1985,,,,,,
túi xách pedro nữ,HIGH_SEASONAL,📉 Đang giảm,-0.7279,0.26,0.95,1285,,Handbag,,,Women,
túi xách pedro,HIGH_SEASONAL,🚀 Đang nổi lên,2.8331,3.76,0.98,1741,,Handbag,,,,
túi pedro nữ,HIGH_SEASONAL,🚀 Đang nổi lên,23750000000.0,23.75,0.0,1135,,,,,Women,
túi xách nữ vascara,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,1.03,1317,,Handbag,,,Women,
túi hapas,HIGH_SEASONAL,📉 Đang giảm,-0.2783,10.36,14.35,1745,,,,,,
túi xách hapas,HIGH_SEASONAL,🚀 Đang nổi lên,0.7853,5.07,2.84,861,,Handbag,,,,
áo sơ mi nam trắng,MODERATE,🚀 Đang nổi lên,6.1424,5.6,0.78,1865,,Shirt,Top,,Men,
áo sơ mi nam đẹp,MODERATE,🚀 Đang nổi lên,0.8398,2.1,1.14,1621,,Shirt,Top,,Men,
size áo sơ mi nam,MODERATE,🚀 Đang nổi lên,26214285714.2857,26.21,0.0,1862,,Shirt,Top,,Men,
mẫu áo sơ mi nam,MODERATE,🚀 Đang nổi lên,3457500000.0,3.46,0.0,1284,,Shirt,Top,,Men,
shop áo sơ mi nam,MODERATE,🚀 Đang nổi lên,3571428571.4286,3.57,0.0,1742,,Shirt,Top,,Men,
áo sơ mi nam việt tiến,MODERATE,🚀 Đang nổi lên,9642857142.8571,9.64,0.0,1438,,Shirt,Top,,Men,
áo sơ mi việt tiến,MODERATE,🚀 Đang nổi lên,1.8321,2.91,1.03,1863,,Shirt,Top,,,
áo sơ mi nam hàng hiệu,MODERATE,📉 Đang giảm,-0.61,0.21,0.55,1315,,Shirt,Top,,Men,
áo sơ mi nam an phước,MODERATE,➡️  Ổn định,0.105,0.61,0.55,1350,,Shirt,Top,,Men,
áo sơ mi nam cộc tay,MODERATE,🚀 Đang nổi lên,9535714285.7143,9.54,0.0,680,,Shirt,Top,,Men,
áo đầm nữ,HIGH_SEASONAL,➡️  Ổn định,0.1697,2.82,2.41,1865,,,Top,,Women,
đầm nữ đẹp,HIGH_SEASONAL,🚀 Đang nổi lên,1.275,1.25,0.55,1135,,,Dress,,Women,
shop đầm nữ,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,2.14,1004,,,Dress,,Women,
đầm nữ trung niên,HIGH_SEASONAL,🚀 Đang nổi lên,9928571428.5714,9.93,0.0,1165,,,Dress,,Women,
đầm nữ cao cấp,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.95,832,,,Dress,,Women,
đầm nữ xinh,HIGH_SEASONAL,📉 Đang giảm,-1.0,0.0,0.49,1186,,,Dress,,Women,
